City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,San Cristobal,VE,7.7669,-72.225,71.78,81,100,1.97,overcast clouds
79,Port Elizabeth,ZA,-33.918,25.5701,66.49,88,0,9.22,light rain
80,Koslan,RU,63.4564,48.8989,0.0,99,39,4.94,scattered clouds
81,Gamba,GA,-2.65,10.0,74.37,95,100,7.47,moderate rain
82,Hamilton,US,39.1834,-84.5333,61.79,91,75,3.0,broken clouds
83,Mackay,AU,-21.15,149.2,87.67,60,37,14.16,scattered clouds
84,Bredasdorp,ZA,-34.5322,20.0403,58.28,93,100,7.63,moderate rain
85,Shenjiamen,CN,29.9576,122.298,57.65,59,0,7.25,clear sky
86,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,21.85,scattered clouds
87,Bonito,BR,-21.1211,-56.4819,76.93,64,48,4.05,scattered clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,67.48,90,50,7.23,scattered clouds
89,Toamasina,MG,-18.1667,49.3833,77.0,83,75,4.61,light rain
90,Candido Mendes,BR,-1.4467,-45.7167,76.01,92,48,3.49,scattered clouds
91,Kristiinankaupunki,FI,62.2743,21.376,3.58,91,8,6.82,clear sky
92,Pimentel,PE,-6.8367,-79.9342,65.71,86,100,10.38,overcast clouds
93,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.64,87,92,16.22,overcast clouds
94,Lorengau,PG,-2.0226,147.2712,84.34,81,99,15.82,moderate rain
95,Kaitangata,NZ,-46.2817,169.8464,54.93,55,71,9.04,broken clouds
96,Nikolskoye,RU,59.7035,30.7861,-3.6,97,6,4.88,clear sky
97,Saint-Francois,FR,46.4154,3.9054,36.84,93,90,1.14,overcast clouds
98,Isangel,VU,-19.55,169.2667,89.71,62,20,6.91,few clouds
99,Loughton,GB,52.0304,-0.7864,37.4,90,100,2.98,overcast clouds
100,Maragogi,BR,-9.0122,-35.2225,77.25,85,18,9.53,few clouds
101,Bethel,US,41.3712,-73.414,47.48,71,75,4.61,broken clouds
102,Torbay,CA,47.6666,-52.7314,30.76,78,20,19.57,few clouds
103,Saint George,US,37.1041,-113.5841,59.34,37,1,5.75,clear sky
104,Asahikawa,JP,43.7678,142.3703,40.21,70,75,8.05,broken clouds
105,Yellowknife,CA,62.456,-114.3525,-20.58,80,1,4.61,clear sky
106,Lebu,CL,-37.6167,-73.65,56.03,84,1,8.16,clear sky
107,Butaritari,KI,3.0707,172.7902,81.46,79,97,14.29,light rain
108,Arlit,NE,18.7369,7.3853,64.76,20,32,3.27,scattered clouds
109,Guerrero Negro,MX,27.9769,-114.0611,61.77,88,0,10.76,clear sky
110,Northam,GB,51.0333,-4.2167,45.09,84,100,11.03,overcast clouds
111,Irmo,US,34.086,-81.1832,50.94,93,75,0.0,mist
112,Chokurdakh,RU,70.6333,147.9167,-43.02,99,63,5.99,broken clouds
113,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,14.7,98,77,3.15,broken clouds
114,Lata,PT,40.1629,-8.3327,47.91,96,36,1.5,scattered clouds
115,Skibbereen,IE,51.55,-9.2667,46.2,85,90,20.27,overcast clouds
116,Victoria,HK,22.2855,114.1577,73.04,48,78,3.0,broken clouds
117,Saint-Philippe,RE,-21.3585,55.7679,83.75,72,22,10.0,few clouds
118,Waipawa,NZ,-41.4122,175.5153,52.45,96,100,7.78,light rain
119,Caxito,AO,-8.5785,13.6643,76.44,94,100,2.42,overcast clouds
120,Tiarei,PF,-17.5333,-149.3333,84.0,75,79,17.38,light rain
121,Te Anau,NZ,-45.4167,167.7167,54.21,60,98,5.19,overcast clouds
122,Nyuksenitsa,RU,60.4128,44.2397,-10.95,100,80,1.03,broken clouds
123,Loei,TH,17.4167,101.5,65.44,41,90,4.41,overcast clouds
124,Souillac,MU,-20.5167,57.5167,81.36,74,40,12.66,scattered clouds
125,Hithadhoo,MV,-0.6,73.0833,81.77,77,99,11.25,overcast clouds
126,Dekar,BW,-21.5333,21.9333,69.35,72,100,5.53,overcast clouds
127,Avarua,CK,-21.2078,-159.775,78.85,83,75,8.05,light rain
128,Ribeira Brava,PT,32.65,-17.0667,65.03,66,17,10.58,few clouds
129,Sainte-Marie,RE,-20.8968,55.5496,84.33,61,0,18.41,clear sky
130,Bluff,NZ,-46.6,168.3333,55.8,56,9,22.7,clear sky
131,Oksfjord,NO,70.2396,22.3479,29.32,83,19,8.52,few clouds
132,Dingle,PH,10.9995,122.6711,83.46,66,74,11.41,broken clouds
133,Yaring,TH,6.8662,101.3689,82.44,65,72,10.38,broken clouds
134,San Patricio,US,28.017,-97.5169,75.29,86,100,15.46,overcast clouds
135,Ahipara,NZ,-35.1667,173.1667,73.71,67,98,10.33,overcast clouds
136,Ugoofaaru,MV,5.6667,73.0,82.51,71,9,8.01,clear sky
137,Sakaiminato,JP,35.55,133.2333,55.38,54,20,2.3,few clouds
138,Hambantota,LK,6.1241,81.1185,82.06,77,54,7.83,broken clouds
139,Georgetown,MY,5.4112,100.3354,84.15,65,20,8.05,few clouds
140,Faanui,PF,-16.4833,-151.75,80.51,75,16,13.67,light rain
141,Asau,RO,46.4333,26.4,34.75,82,100,1.59,overcast clouds
142,Kodiak,US,57.79,-152.4072,36.91,70,90,20.71,light rain
143,Okhotsk,RU,59.3833,143.3,-4.79,85,19,11.56,few clouds
144,Namatanai,PG,-3.6667,152.4333,85.82,67,57,5.5,light rain
145,Zenzeli,RU,45.9241,47.0474,42.01,89,40,7.58,scattered clouds
146,Geraldton,AU,-28.7667,114.6,86.41,37,0,24.16,clear sky
147,Elko,US,41.0002,-115.5012,36.64,61,85,8.99,overcast clouds
148,Kruisfontein,ZA,-34.0033,24.7314,61.88,85,80,14.38,broken clouds
149,Vaini,TO,-21.2,-175.2,84.36,74,40,10.36,scattered clouds
150,Katherine,AU,-14.4667,132.2667,93.52,43,47,4.61,scattered clouds
151,Chilliwack,CA,49.1747,-121.9443,37.04,85,100,4.61,overcast clouds
152,Rio Gallegos,AR,-51.6226,-69.2181,46.45,53,0,3.44,clear sky
153,Port Lincoln,AU,-34.7333,135.8667,67.98,56,58,17.38,broken clouds
154,Visby,SE,57.6409,18.296,25.05,86,20,8.05,few clouds
155,Sur,OM,22.5667,59.5289,74.43,60,0,0.98,clear sky
156,Port Alfred,ZA,-33.5906,26.891,66.27,91,82,22.19,light rain
157,Grindavik,IS,63.8424,-22.4338,37.87,93,40,16.11,scattered clouds
158,Longyearbyen,SJ,78.2186,15.6401,21.04,79,75,14.97,light snow
159,Khatima,IN,28.9167,79.9667,67.75,57,73,2.95,broken clouds
160,Toowoomba,AU,-27.55,151.9667,75.94,64,98,1.99,overcast clouds
161,Alta Floresta,BR,-9.8756,-56.0861,71.94,98,99,1.74,overcast clouds
162,Moerai,PF,-22.4333,-151.3333,78.33,81,100,14.09,overcast clouds
163,Camopi,GF,3.1655,-52.3158,71.49,99,100,1.19,overcast clouds
164,Moose Factory,CA,51.2585,-80.6094,10.4,79,90,5.75,overcast clouds
165,Neuquen,AR,-38.9516,-68.0591,71.49,60,0,4.61,clear sky
166,Maceio,BR,-9.6658,-35.7353,78.24,88,75,5.75,broken clouds
167,Esperance,AU,-33.8667,121.9,66.04,67,88,18.72,overcast clouds
168,Kristiansund,NO,63.1115,7.732,27.25,68,52,4.61,broken clouds
169,Vestmanna,FO,62.1564,-7.1664,36.52,87,75,29.93,broken clouds
170,Kathmandu,NP,27.7167,85.3167,64.9,50,0,1.68,clear sky
171,Alzey,DE,49.7517,8.1161,36.05,92,100,1.41,overcast clouds
172,Karpathos,GR,35.507,27.2132,62.56,72,48,10.36,scattered clouds
173,Brae,GB,60.3964,-1.353,42.71,66,90,15.66,overcast clouds
174,Altay,CN,47.8667,88.1167,28.58,60,65,6.13,broken clouds
175,Roma,US,43.2128,-75.4557,48.06,59,90,11.5,overcast clouds
176,Boa Esperanca,BR,-21.09,-45.5658,63.81,94,24,1.74,few clouds
177,Saldanha,ZA,-33.0117,17.9442,59.05,87,100,16.84,overcast clouds
178,Tezu,IN,27.9167,96.1667,76.15,43,100,2.68,overcast clouds
